"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "XML", "PostCSS", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"/Users/ahmetselim/paletevreni/app/api/admin/payments/list-per-student/route.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 6, 11, 102
"/Users/ahmetselim/paletevreni/app/api/admin/payments/list/route.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 3, 7, 44
"/Users/ahmetselim/paletevreni/app/api/admin/payments/remind/route.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 0, 0, 11, 22, 162
"/Users/ahmetselim/paletevreni/app/api/admin/payments/student-summary/route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/ahmetselim/paletevreni/app/api/admin/payments/update/route.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 7, 16, 77
"/Users/ahmetselim/paletevreni/app/api/admin/renewals/create/route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"/Users/ahmetselim/paletevreni/app/api/admin/renewals/list/route.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"/Users/ahmetselim/paletevreni/app/api/admin/renewals/new/route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"/Users/ahmetselim/paletevreni/app/api/admin/renewals/student-status-list/route.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 4, 5, 37
"/Users/ahmetselim/paletevreni/app/api/admin/studentpackages/create/route.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 5, 19, 118
"/Users/ahmetselim/paletevreni/app/api/admin/studentpackages/for-student/route.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/ahmetselim/paletevreni/app/api/admin/studentpackages/last/route.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 6, 11, 104
"/Users/ahmetselim/paletevreni/app/api/admin/studentpackages/list/route.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 4, 8, 57
"/Users/ahmetselim/paletevreni/app/api/admin/studentpackages/renew/route.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 15, 21, 150
"/Users/ahmetselim/paletevreni/app/api/admin/students/list/route.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 3, 12, 68
"/Users/ahmetselim/paletevreni/app/api/admin/students/manual/route.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"/Users/ahmetselim/paletevreni/app/api/admin/students/mark-left/route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"/Users/ahmetselim/paletevreni/app/api/admin/students/message/route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 6, 26
"/Users/ahmetselim/paletevreni/app/api/admin/students/promote/route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"/Users/ahmetselim/paletevreni/app/api/admin/students/status/route.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 5, 8, 34
"/Users/ahmetselim/paletevreni/app/api/admin/students/update/route.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"/Users/ahmetselim/paletevreni/app/api/admin/trials/approve/route.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 8, 11, 58
"/Users/ahmetselim/paletevreni/app/api/admin/trials/day/route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/ahmetselim/paletevreni/app/api/admin/trials/manual/route.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"/Users/ahmetselim/paletevreni/app/api/admin/trials/message/route.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 8, 14, 104
"/Users/ahmetselim/paletevreni/app/api/admin/trials/note/route.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/ahmetselim/paletevreni/app/api/packages/list/route.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/ahmetselim/paletevreni/app/atolye/Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 4, 12, 108
"/Users/ahmetselim/paletevreni/app/atolye/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 13, 13, 183
"/Users/ahmetselim/paletevreni/app/basvuru/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 1, 2, 17
"/Users/ahmetselim/paletevreni/app/basvuru/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 478, 0, 20, 54, 552
"/Users/ahmetselim/paletevreni/app/blocks/Sections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 441, 0, 15, 36, 492
"/Users/ahmetselim/paletevreni/app/components/Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 9, 9, 145
"/Users/ahmetselim/paletevreni/app/components/Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 499, 0, 23, 42, 564
"/Users/ahmetselim/paletevreni/app/components/PublicOnlyWhatsApp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 2, 3, 13
"/Users/ahmetselim/paletevreni/app/components/TanitimCarousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 220, 0, 15, 26, 261
"/Users/ahmetselim/paletevreni/app/components/WhatsappButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"/Users/ahmetselim/paletevreni/app/galerimiz/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 1, 11, 137
"/Users/ahmetselim/paletevreni/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 34, 0, 0, 3, 7, 44
"/Users/ahmetselim/paletevreni/app/hakkimizda/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 189, 0, 1, 15, 205
"/Users/ahmetselim/paletevreni/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 1, 3, 35
"/Users/ahmetselim/paletevreni/app/lib/adminSessions.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 1, 8, 49
"/Users/ahmetselim/paletevreni/app/lib/adminSessionsEdge.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 3, 8, 82
"/Users/ahmetselim/paletevreni/app/lib/hooks/useAdminApi.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 2, 8, 56
"/Users/ahmetselim/paletevreni/app/lib/supabase/client.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/ahmetselim/paletevreni/app/lib/supabase/server.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 2, 26
"/Users/ahmetselim/paletevreni/app/lib/supabase/serverAdmin.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/ahmetselim/paletevreni/app/lib/supabase/types.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 2, 2, 119
"/Users/ahmetselim/paletevreni/app/lib/supabaseServer.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/ahmetselim/paletevreni/app/lib/utils.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/ahmetselim/paletevreni/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 3, 5, 46
